Year,City,Sport,Discipline,Athlete,Country Code,Country,Gender,Event,Medal
1948,London,Gymnastics,Artistic G.,"RUZICKA, Zdenek",TCH,Czechoslovakia,Men,Floor Exercises,Bronze
1948,London,Gymnastics,Artistic G.,"PATAKI, Ferenc",HUN,Hungary,Men,Floor Exercises,Gold
1948,London,Gymnastics,Artistic G.,"MOGYOROSI-KLENCS, Janos",HUN,Hungary,Men,Floor Exercises,Silver
1952,Helsinki,Gymnastics,Artistic G.,"THORESSON, William",SWE,Sweden,Men,Floor Exercises,Gold
1952,Helsinki,Gymnastics,Artistic G.,"JOKIEL, Jerzy",POL,Poland,Men,Floor Exercises,Silver
1952,Helsinki,Gymnastics,Artistic G.,"UESAKO, Tadao",JPN,Japan,Men,Floor Exercises,Silver
1952,Helsinki,Gymnastics,Artistic G.,"KORONDI, Margit",HUN,Hungary,Women,Floor Exercises,Bronze
1952,Helsinki,Gymnastics,Artistic G.,"KELETI, Agnes",HUN,Hungary,Women,Floor Exercises,Gold
1952,Helsinki,Gymnastics,Artistic G.,"GOROKHOVSKAYA, Mariya",URS,USSR,Women,Floor Exercises,Silver
1956,Melbourne / Stockholm,Gymnastics,Artistic G.,"MURATOV, Valentin",URS,USSR,Men,Floor Exercises,Gold
1956,Melbourne / Stockholm,Gymnastics,Artistic G.,"AIHARA, Nobuyuki",JPN,Japan,Men,Floor Exercises,Silver
1956,Melbourne / Stockholm,Gymnastics,Artistic G.,"CHUKARIN, Viktor Ivanovich",URS,USSR,Men,Floor Exercises,Silver
1956,Melbourne / Stockholm,Gymnastics,Artistic G.,"THORESSON, William",SWE,Sweden,Men,Floor Exercises,Silver
1956,Melbourne / Stockholm,Gymnastics,Artistic G.,"LEUSTEANU-POPESCU-TEODORESCU, Elena",ROU,Romania,Women,Floor Exercises,Bronze
1956,Melbourne / Stockholm,Gymnastics,Artistic G.,"KELETI, Agnes",HUN,Hungary,Women,Floor Exercises,Gold
1956,Melbourne / Stockholm,Gymnastics,Artistic G.,"LATYNINA, Larisa",URS,USSR,Women,Floor Exercises,Gold
1960,Rome,Gymnastics,Artistic G.,"MENICHELLI, Franco",ITA,Italy,Men,Floor Exercises,Bronze
1960,Rome,Gymnastics,Artistic G.,"AIHARA, Nobuyuki",JPN,Japan,Men,Floor Exercises,Gold
